,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_max_features,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
10,48.364949750900266,0.34649949498952354,0.3980921745300293,0.016049434067451136,0.001,4,200,800,"{'learning_rate': 0.001, 'max_depth': 4, 'max_features': 200, 'n_estimators': 800}",-0.07071008051754002,-0.055234474859487535,-0.05303846203607458,-0.05977552293514853,-0.05396612682356427,-0.05854493343436299,0.006507702932525469,210
11,60.08353276252747,0.31020890658893624,0.453446626663208,0.02952434354479683,0.001,4,200,1000,"{'learning_rate': 0.001, 'max_depth': 4, 'max_features': 200, 'n_estimators': 1000}",-0.0680145788327381,-0.05296259409179873,-0.05108123994189507,-0.059685526668793794,-0.05250854911422902,-0.05685049772989094,0.0063233969329760725,198
12,50.08623976707459,0.2900314096543523,0.33342504501342773,0.0169171638495322,0.001,4,300,600,"{'learning_rate': 0.001, 'max_depth': 4, 'max_features': 300, 'n_estimators': 600}",-0.07365735918446766,-0.05791957692931116,-0.05546827225688411,-0.0601213358667888,-0.055750714759475545,-0.06058345179938546,0.006749181340299301,220
13,66.23092689514161,0.33680410719153736,0.3820635318756104,0.020176136198307423,0.001,4,300,800,"{'learning_rate': 0.001, 'max_depth': 4, 'max_features': 300, 'n_estimators': 800}",-0.07032891271103185,-0.05493411387636026,-0.05279364420008983,-0.05987387983772106,-0.05384306572217912,-0.05835472326947642,0.00646018997122263,208
14,82.72981762886047,0.6194821790187097,0.4375216007232666,0.019352308250100092,0.001,4,300,1000,"{'learning_rate': 0.001, 'max_depth': 4, 'max_features': 300, 'n_estimators': 1000}",-0.06769988724296443,-0.052717073501227014,-0.050868626261444935,-0.05977608538975225,-0.05239413662656073,-0.05669116180438988,0.006306639559678896,196
15,62.21975584030152,0.5174209571991609,0.3241409778594971,0.01464148753404493,0.001,4,400,600,"{'learning_rate': 0.001, 'max_depth': 4, 'max_features': 400, 'n_estimators': 600}",-0.0735978652751493,-0.05790257268326412,-0.055460008083273636,-0.0602322285464175,-0.0557449743419821,-0.060587529786017336,0.006728237290626957,221
16,83.19735703468322,0.7241268733645935,0.36797327995300294,0.022298838983644792,0.001,4,400,800,"{'learning_rate': 0.001, 'max_depth': 4, 'max_features': 400, 'n_estimators': 800}",-0.07038377913311583,-0.05490190613749793,-0.05285889423333796,-0.05996633350539217,-0.053833840125356636,-0.058388950626940106,0.006478488748268451,209
17,103.37621994018555,0.7107440618742774,0.4218327045440674,0.032182761858953565,0.001,4,400,1000,"{'learning_rate': 0.001, 'max_depth': 4, 'max_features': 400, 'n_estimators': 1000}",-0.06787511414514447,-0.052710466561698054,-0.05098168010001546,-0.059892924364680605,-0.0524153818586731,-0.05677511340604234,0.006356465121238669,197
18,43.851282835006714,0.35710042275441106,0.3826186180114746,0.02127167006258545,0.001,5,200,600,"{'learning_rate': 0.001, 'max_depth': 5, 'max_features': 200, 'n_estimators': 600}",-0.0726330456158331,-0.05714309454204495,-0.05460104924239737,-0.05969912376188743,-0.05501864387545275,-0.05981899140752313,0.0066580032203041786,218
19,58.39535346031189,0.3213682042546129,0.4499393939971924,0.029016458468090728,0.001,5,200,800,"{'learning_rate': 0.001, 'max_depth': 5, 'max_features': 200, 'n_estimators': 800}",-0.06899249227397837,-0.053891676842874166,-0.05177633372640958,-0.05939792864976933,-0.05296451406009775,-0.05740458911062585,0.0063558631194630035,201
