,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_max_features,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
2357,144.23096671104432,5.325414325158386,0.5287655353546142,0.11291818282410207,0.2213157894736842,7,400,800,"{'learning_rate': 0.2213157894736842, 'max_depth': 7, 'max_features': 400, 'n_estimators': 800}",-0.058235223028669056,-0.044124678333660794,-0.04194037171462814,-0.061458168694460136,-0.045686068823582046,-0.050288902119000035,0.007959625882753608,2600
2358,168.2935730934143,6.350496656026171,0.6772656440734863,0.013186019334151134,0.2213157894736842,7,400,900,"{'learning_rate': 0.2213157894736842, 'max_depth': 7, 'max_features': 400, 'n_estimators': 900}",-0.05895977537585177,-0.044904464768337635,-0.04228344006344205,-0.06260904911149691,-0.04599520685080546,-0.05095038723398676,0.008201190883386082,2687
2359,178.8938941478729,6.40326275068642,0.6104266166687011,0.14345310794453298,0.2213157894736842,7,400,1000,"{'learning_rate': 0.2213157894736842, 'max_depth': 7, 'max_features': 400, 'n_estimators': 1000}",-0.05938038591892466,-0.04547614216801084,-0.04333293414398992,-0.06240310424596659,-0.0464397291203877,-0.05140645911945594,0.007868018609528208,2740
2360,37.27177958488464,0.4063174775503194,0.5650660514831543,0.012563138300986338,0.2213157894736842,8,100,600,"{'learning_rate': 0.2213157894736842, 'max_depth': 8, 'max_features': 100, 'n_estimators': 600}",-0.05697409582429195,-0.0429055099118447,-0.04134769750524746,-0.060341218327965816,-0.04521909155843172,-0.04935752262555633,0.007766159112302504,2447
2361,42.00084776878357,1.5252898961816344,0.5437207698822022,0.11949836786621759,0.2213157894736842,8,100,700,"{'learning_rate': 0.2213157894736842, 'max_depth': 8, 'max_features': 100, 'n_estimators': 700}",-0.0587893393650405,-0.04386384246783516,-0.04175595043698525,-0.061944381140976994,-0.04511692789262917,-0.05029408826069341,0.008354034515755355,2602
2362,47.949120092391965,2.3527389685920372,0.5809490203857421,0.13139323088561075,0.2213157894736842,8,100,800,"{'learning_rate': 0.2213157894736842, 'max_depth': 8, 'max_features': 100, 'n_estimators': 800}",-0.05840057586945631,-0.04532765364425904,-0.04281593933420743,-0.060455690997989454,-0.04501603800710074,-0.0504031795706026,0.00744795012896342,2616
2363,55.68737106323242,0.5102996820756743,0.7692633628845215,0.034830425112723176,0.2213157894736842,8,100,900,"{'learning_rate': 0.2213157894736842, 'max_depth': 8, 'max_features': 100, 'n_estimators': 900}",-0.05848945796391155,-0.04444714120733516,-0.043311476197968685,-0.06230131824415914,-0.04649538659561135,-0.05100895604179717,0.007825040218804551,2694
2364,60.73993310928345,2.285875319977931,0.7386532306671143,0.13564264632315426,0.2213157894736842,8,100,1000,"{'learning_rate': 0.2213157894736842, 'max_depth': 8, 'max_features': 100, 'n_estimators': 1000}",-0.05837370794313811,-0.0450939115068787,-0.044356519222443984,-0.06312757675764878,-0.04723970332337136,-0.05163828375069619,0.007649447108620957,2762
2365,66.06008415222168,3.946630923966144,0.5149619102478027,0.1286496636550524,0.2213157894736842,8,200,600,"{'learning_rate': 0.2213157894736842, 'max_depth': 8, 'max_features': 200, 'n_estimators': 600}",-0.05861012264725297,-0.04334018226993294,-0.041617706473071676,-0.06120529489488093,-0.04611007058649867,-0.05017667537432744,0.00811522448924042,2583
2366,78.7243872642517,1.0101493407004285,0.6276201725006103,0.008039489887489783,0.2213157894736842,8,200,700,"{'learning_rate': 0.2213157894736842, 'max_depth': 8, 'max_features': 200, 'n_estimators': 700}",-0.058851170899150124,-0.04484046526777644,-0.041952336477222144,-0.060563349277472645,-0.0465450324999465,-0.05055047088431357,0.007638520413362204,2633
