,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_leaf_nodes,param_n_estimators,params,split0_test_explained_variance,mean_test_explained_variance,std_test_explained_variance,rank_test_explained_variance,split0_test_neg_mean_absolute_error,mean_test_neg_mean_absolute_error,std_test_neg_mean_absolute_error,rank_test_neg_mean_absolute_error,split0_test_neg_mean_squared_error,mean_test_neg_mean_squared_error,std_test_neg_mean_squared_error,rank_test_neg_mean_squared_error
59,65.78304767608643,0.0,0.07286572456359863,0.0,11,380,"{'max_leaf_nodes': 11, 'n_estimators': 380}",0.34429922866797535,0.34429922866797535,0.0,689,-0.20390681889729162,-0.20390681889729162,0.0,390,-0.06127343528843966,-0.06127343528843966,0.0,376
60,69.71649408340454,0.0,0.07686758041381836,0.0,11,400,"{'max_leaf_nodes': 11, 'n_estimators': 400}",0.3443939203254406,0.3443939203254406,0.0,682,-0.20384263283085022,-0.20384263283085022,0.0,359,-0.06122927587758385,-0.06122927587758385,0.0,340
61,76.17502927780151,0.0,0.08321213722229004,0.0,11,420,"{'max_leaf_nodes': 11, 'n_estimators': 420}",0.34433127837938093,0.34433127837938093,0.0,686,-0.20388364598067324,-0.20388364598067324,0.0,378,-0.06126383611215659,-0.06126383611215659,0.0,367
62,76.77620577812195,0.0,0.08272695541381836,0.0,11,440,"{'max_leaf_nodes': 11, 'n_estimators': 440}",0.34438696516870604,0.34438696516870604,0.0,683,-0.203845979828783,-0.203845979828783,0.0,361,-0.061239244146462646,-0.061239244146462646,0.0,348
63,84.69041228294373,0.0,0.09180569648742676,0.0,11,460,"{'max_leaf_nodes': 11, 'n_estimators': 460}",0.3443200671597483,0.3443200671597483,0.0,687,-0.20385178117540836,-0.20385178117540836,0.0,362,-0.06123807510018533,-0.06123807510018533,0.0,345
64,83.61947083473206,0.0,0.08931636810302734,0.0,11,480,"{'max_leaf_nodes': 11, 'n_estimators': 480}",0.3441163197838246,0.3441163197838246,0.0,714,-0.2038992261753509,-0.2038992261753509,0.0,386,-0.06125827606040997,-0.06125827606040997,0.0,362
65,87.04609632492065,0.0,0.0925905704498291,0.0,11,500,"{'max_leaf_nodes': 11, 'n_estimators': 500}",0.3439745837122219,0.3439745837122219,0.0,721,-0.20389922293031337,-0.20389922293031337,0.0,385,-0.06124446266257511,-0.06124446266257511,0.0,352
66,90.70430517196655,0.0,0.09499621391296387,0.0,11,520,"{'max_leaf_nodes': 11, 'n_estimators': 520}",0.3441136424148429,0.3441136424148429,0.0,715,-0.20393568370555373,-0.20393568370555373,0.0,399,-0.06127578998950616,-0.06127578998950616,0.0,378
67,93.93070554733276,0.0,0.09762167930603027,0.0,11,540,"{'max_leaf_nodes': 11, 'n_estimators': 540}",0.34402351745244364,0.34402351745244364,0.0,719,-0.20391689017481768,-0.20391689017481768,0.0,392,-0.06126516147428448,-0.06126516147428448,0.0,370
68,96.95352864265442,0.0,0.10063362121582031,0.0,11,560,"{'max_leaf_nodes': 11, 'n_estimators': 560}",0.34423720864215934,0.34423720864215934,0.0,699,-0.2038808449278797,-0.2038808449278797,0.0,377,-0.061259757099144704,-0.061259757099144704,0.0,365
69,104.89195013046265,0.0,0.1093134880065918,0.0,11,580,"{'max_leaf_nodes': 11, 'n_estimators': 580}",0.344187047073625,0.344187047073625,0.0,706,-0.20391816632265,-0.20391816632265,0.0,393,-0.06128007605917891,-0.06128007605917891,0.0,381
70,104.79134726524353,0.0,0.1078195571899414,0.0,11,600,"{'max_leaf_nodes': 11, 'n_estimators': 600}",0.34435909125262243,0.34435909125262243,0.0,685,-0.20385327245349624,-0.20385327245349624,0.0,363,-0.0612501402602766,-0.0612501402602766,0.0,355
71,107.49622893333435,0.0,0.11144304275512695,0.0,11,620,"{'max_leaf_nodes': 11, 'n_estimators': 620}",0.3441518765423002,0.3441518765423002,0.0,711,-0.20386747942181538,-0.20386747942181538,0.0,371,-0.06124177625873544,-0.06124177625873544,0.0,350
